location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 391637878, 20160712, DE85AD099959B669CC0949B5B9AB3663, 5.0, 4.5, Marcelich, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 383095206, 20160616, CF4EA0DC9369EA99E7B9CD0021F59A5C, 5.0, 4.5, dambraunstein, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 373934642, 20160517, 9DFE2AB9DD33E209C309BAFCC53BDC2A, 5.0, 4.5, GuentherWiltsche, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 371501397, 20160509, D905E3B383B923B1FB0176A8516D6148, 5.0, 4.5, amoscricket, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 353616605, 20160307, E901F22F5311CADA1848D77B899C1A7B, 5.0, 4.5, C T, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 337261363, 20160104, 586D9DD86B45489E06E63F61F2BE9CE9, 3.0, 4.5, Brenton K, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 327407345, 20151117, F2EF08C6492DD69CB9DBF12B307FC4EC, 5.0, 4.5, 622lynneh, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 308564257, 20150909, 124EE3E4558BD4F02C05D33DDECA3243, 4.0, 4.5, LouIenna, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 306776587, 20150903, D9E9B103B2740FBA23EA728A5A4248CE, 5.0, 4.5, SleepersGourmet, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
Kastner & Ohler, Paradeishof, Sights & Landmarks & Points of Interest & Landmarks, #lat#, #lng#, 305320211, 20150831, CE1140DB926C3FE9864D1EE340DED5EE, 3.0, 4.5, BolBolize, /Attraction_Review-g190432-d590466-Reviews-Kastner_Ohler_Paradeishof-Graz_Styria.html
