location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Statue of Harry Hill Bandholtz, Brigadier General, U.S. Army, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 603328047, 20180806, 1035345092AE226C9CBBD280A45E4BE4, 4.0, 3.5, johncS9706VI, /Attraction_Review-g274887-d8845887-Reviews-Statue_of_Harry_Hill_Bandholtz_Brigadier_General_U_S_Army-Budapest_Central_Hungar.html
Statue of Harry Hill Bandholtz, Brigadier General, U.S. Army, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 575302244, 20180423, 25262EA20E42143F502892F4DFA9B378, 3.0, 3.5, Michael B, /Attraction_Review-g274887-d8845887-Reviews-Statue_of_Harry_Hill_Bandholtz_Brigadier_General_U_S_Army-Budapest_Central_Hungar.html
Statue of Harry Hill Bandholtz, Brigadier General, U.S. Army, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 394734422, 20160720, D626521BD4BA7D8B6C22B21C846EB9E2, 4.0, 3.5, DeanMurphy2020, /Attraction_Review-g274887-d8845887-Reviews-Statue_of_Harry_Hill_Bandholtz_Brigadier_General_U_S_Army-Budapest_Central_Hungar.html
Statue of Harry Hill Bandholtz, Brigadier General, U.S. Army, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 348167241, 20160216, B4767C047212849B228E6DE574A61051, 4.0, 3.5, I3949JRjasonc, /Attraction_Review-g274887-d8845887-Reviews-Statue_of_Harry_Hill_Bandholtz_Brigadier_General_U_S_Army-Budapest_Central_Hungar.html
Statue of Harry Hill Bandholtz, Brigadier General, U.S. Army, Sights & Landmarks & Monuments & Statues, #lat#, #lng#, 328735282, 20151123, E6FBFB5CC553499D8E0AA0E9507D567E, 5.0, 3.5, joehun, /Attraction_Review-g274887-d8845887-Reviews-Statue_of_Harry_Hill_Bandholtz_Brigadier_General_U_S_Army-Budapest_Central_Hungar.html
