location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 707175906, 20190906, 61BBD58D6AB0F239BDC6FA2524126583, 4.0, 4.5, 545medva, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 701392327, 20190821, 5D7B52E941AA6417F39C864DAF7A9FC3, 3.0, 4.5, Rafal G, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 693430046, 20190728, E6F9C23BDF906F0DB3034F87A2A6123A, 5.0, 4.5, Profleer, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 687098982, 20190705, 141F455213E86DCE63395A7AB1B57E64, 3.0, 4.5, Andrew S, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 685684771, 20190701, 2E8722E093A6D1FB9C6B6EC736D2DE2A, 3.0, 4.5, dvkremk, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 683436292, 20190622, 0F64D356B5199E5DA71BF3EA8C53408C, 4.0, 4.5, bartleycrc, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 677900053, 20190531, 8405636179E2CEDA8994C1DC98A5CABE, 4.0, 4.5, piriot, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 677383910, 20190529, 1254A608F7CBDB087FD05FDABD2BB707, 3.0, 4.5, BobandJosie, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 676666914, 20190526, 6019C1E39640610C4A24E8C11B6FEB7F, 4.0, 4.5, GaramMassala, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
Basilica di San Francesco, Ravenna, Sights & Landmarks & Churches & Cathedrals, #lat#, #lng#, 672596828, 20190508, C4707ABD021EAB70471349648013891C, 4.0, 4.5, Nanette132, /Attraction_Review-g187806-d4289751-Reviews-Basilica_di_San_Francesco_Ravenna-Ravenna_Province_of_Ravenna_Emilia_Romagna.html
