location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
Parco Querini, Pordenone, Italia, Nature & Parks & Gardens, #lat#, #lng#, 483431681, 20170511, 9215E5FE6F508538751DB7EA24A402AE, 4.0, 2.0, hirundo-rustego, /Attraction_Review-g194854-d8091277-Reviews-Parco_Querini_Pordenone_Italia-Pordenone_Province_of_Pordenone_Friuli_Venezia_Giu.html
Parco Querini, Pordenone, Italia, Nature & Parks & Gardens, #lat#, #lng#, 424494473, 20161002, 58758EEE894CFA39F70CA65CC3A3B68D, 1.0, 2.0, piazzafontana69, /Attraction_Review-g194854-d8091277-Reviews-Parco_Querini_Pordenone_Italia-Pordenone_Province_of_Pordenone_Friuli_Venezia_Giu.html
Parco Querini, Pordenone, Italia, Nature & Parks & Gardens, #lat#, #lng#, 403973460, 20160811, 0EAF48C08B3B7FF65BC135DC9EE84C44, 2.0, 2.0, Luke3j, /Attraction_Review-g194854-d8091277-Reviews-Parco_Querini_Pordenone_Italia-Pordenone_Province_of_Pordenone_Friuli_Venezia_Giu.html
Parco Querini, Pordenone, Italia, Nature & Parks & Gardens, #lat#, #lng#, 338178929, 20160107, B5185E89186AEEF6459999B1DFF64047, 1.0, 2.0, Sonia C, /Attraction_Review-g194854-d8091277-Reviews-Parco_Querini_Pordenone_Italia-Pordenone_Province_of_Pordenone_Friuli_Venezia_Giu.html
Parco Querini, Pordenone, Italia, Nature & Parks & Gardens, #lat#, #lng#, 329345809, 20151127, 9623AFCCAD90E72426D81FDBE30B8583, 3.0, 2.0, Katki2013, /Attraction_Review-g194854-d8091277-Reviews-Parco_Querini_Pordenone_Italia-Pordenone_Province_of_Pordenone_Friuli_Venezia_Giu.html
Parco Querini, Pordenone, Italia, Nature & Parks & Gardens, #lat#, #lng#, 291503324, 20150722, AC81854C308B7875BA787B9D39C5AA83, 1.0, 2.0, ilaria p, /Attraction_Review-g194854-d8091277-Reviews-Parco_Querini_Pordenone_Italia-Pordenone_Province_of_Pordenone_Friuli_Venezia_Giu.html
Parco Querini, Pordenone, Italia, Nature & Parks & Gardens, #lat#, #lng#, 272693793, 20150518, 14FA9B313374CC9C7D2988CF21BA1BFB, 2.0, 2.0, dreamyviajero, /Attraction_Review-g194854-d8091277-Reviews-Parco_Querini_Pordenone_Italia-Pordenone_Province_of_Pordenone_Friuli_Venezia_Giu.html
