location_name, location_tags,lat,lng,review_id,review_date,user_id,review_rate,place_rate,username,parent_url
BZ '18-'45: Un monumento, una citta, due dittature, Museums & Specialty Museums & History Museums, #lat#, #lng#, 695538136, 20190804, 7CD119ABCA7AB8F58FF5E05CBAB2D611, 5.0, 4.5, vessi80, /Attraction_Review-g187857-d12539239-Reviews-BZ_18_45_Un_monumento_una_citta_due_dittature-Bolzano_Province_of_South_Tyrol_Tr.html
BZ '18-'45: Un monumento, una citta, due dittature, Museums & Specialty Museums & History Museums, #lat#, #lng#, 414321089, 20160903, 81C92D6DB15CDABB7F8E2C3F22701EFF, 5.0, 4.5, polcol, /Attraction_Review-g187857-d12539239-Reviews-BZ_18_45_Un_monumento_una_citta_due_dittature-Bolzano_Province_of_South_Tyrol_Tr.html
BZ '18-'45: Un monumento, una citta, due dittature, Museums & Specialty Museums & History Museums, #lat#, #lng#, 408052932, 20160820, A078AC52BC4E77E6E991662777B7A965, 5.0, 4.5, AJG7, /Attraction_Review-g187857-d12539239-Reviews-BZ_18_45_Un_monumento_una_citta_due_dittature-Bolzano_Province_of_South_Tyrol_Tr.html
BZ '18-'45: Un monumento, una citta, due dittature, Museums & Specialty Museums & History Museums, #lat#, #lng#, 395317451, 20160721, 5A900863512C6735E273147535848501, 4.0, 4.5, Karin115, /Attraction_Review-g187857-d12539239-Reviews-BZ_18_45_Un_monumento_una_citta_due_dittature-Bolzano_Province_of_South_Tyrol_Tr.html
